id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,fetch_time
1,Bitcoin,BTC,bitcoin,12433,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19936690.0,19936690.0,False,,1,,,,2025-10-19T10:39:00.000Z,107681.93928689453,34322226933.071552,-52.8846,1.18750127,0.55251375,-3.49052952,-7.61213059,-5.26214768,-9.10731476,2146821442161.6372,58.8677,2261320725024.79,,2025-10-19T10:39:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
1027,Ethereum,ETH,ethereum,10908,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,117758134.28690171,117758134.28690171,True,,2,,,,2025-10-19T10:39:00.000Z,3924.07093259501,23634670179.391644,-43.0762,1.52884344,0.98973792,2.59760989,-13.42529746,-6.9029389,3.6053957,462091271831.8508,12.6709,462091271831.85,,2025-10-19T10:39:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
825,Tether USDt,USDT,tether,153951,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,181869542480.9397,185009025610.98456,True,,3,,,,2025-10-19T10:39:00.000Z,1.000191127294667,88366031113.95294,-42.0466,0.00624528,-0.0137557,-0.02632388,-0.03069306,0.02969466,0.00334433,181904302714.57642,4.988,185044385885.54,,2025-10-19T10:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-19 10:42:17.258346+00:00
1839,BNB,BNB,bnb,2825,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",139180799.97,139180770.81,139180770.81,False,,4,,,,2025-10-19T10:40:00.000Z,1098.0136948688646,3352233446.288243,-34.986,2.08952968,-1.34910724,-9.67462973,10.59350584,31.83907396,43.54278931,152822392411.78473,4.1905,152822424429.86,,2025-10-19T10:40:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
52,XRP,XRP,xrp,1727,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59975443601.0,99985782669.0,False,,5,,,,2025-10-19T10:39:00.000Z,2.3779161080551328,2871219508.000708,-44.7242,2.31004181,0.63822647,-0.49444692,-21.52189548,-17.82037825,-32.71507039,142616573426.57004,3.9117,237791610805.51,,2025-10-19T10:39:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
5426,Solana,SOL,solana,1025,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,546952996.3157502,612147183.0717837,True,,6,525236893.3,99176432679.33633,,2025-10-19T10:40:00.000Z,188.8222894173004,3925482312.402977,-48.0283,2.58247767,1.50797867,4.24309315,-22.12987824,4.36529529,-1.42378493,103276916967.99223,2.8319,115587032567.97,,2025-10-19T10:40:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
3408,USDC,USDC,usd-coin,33164,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75949495285.24562,75949495285.24562,False,,7,60901219650.23,60888226797.82192,,2025-10-19T10:39:00.000Z,0.9997866569424603,9965460727.134445,-45.0297,-0.01856829,-0.01087763,-0.01419928,-0.02128703,-0.00821116,0.00813164,75933291987.70287,2.0827,75933291987.7,,2025-10-19T10:39:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-10-19 10:42:17.258346+00:00
1958,TRON,TRX,tron,1247,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94665601781.9161,94665613881.8379,True,,8,94667886298.43,30048866304.96947,,2025-10-19T10:40:00.000Z,0.3174135124369816,453902827.7963439,-49.2528,0.88159369,1.37316403,0.8661868,-8.54208822,-9.5060307,1.13804939,30048141168.55858,0.8239,30048145009.24,,2025-10-19T10:40:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
74,Dogecoin,DOGE,dogecoin,1328,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151413546383.7052,151413546383.7052,True,,9,,,,2025-10-19T10:40:00.000Z,0.19481658262659682,1531660139.1615758,-32.5266,4.30231973,3.72656348,2.96419875,-28.79772485,-9.2161746,-27.46443887,29497869669.847153,0.8089,29497869669.85,,2025-10-19T10:40:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
2010,Cardano,ADA,cardano,1609,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35841169112.95772,44994677852.1329,False,,10,37997904336.0,24406378828.691948,,2025-10-19T10:39:00.000Z,0.6423085497788582,585402356.662707,-47.7127,2.85792936,0.83681576,-0.37053114,-28.9213802,-24.67392145,-27.20492488,23021089355.322678,0.6313,28903884740.05,,2025-10-19T10:39:00.000Z,,,,,,2025-10-19 10:42:17.258346+00:00
